Bone;"Q7Z7L1;SLN11_HUMAN"
Bone;"P10636;TAU_HUMAN"
Bone;"Q14168;MPP2_HUMAN"
Bone;"Q9BPU6;DPYL5_HUMAN"
Bone;"Q99719;SEPT5_HUMAN"
Bone;"Q12923;PTN13_HUMAN"
Bone;"P29762;RABP1_HUMAN"
Bone;"P05186;PPBT_HUMAN"
Bone;"P05771;KPCB_HUMAN"
Bone;"Q9C0K0;BC11B_HUMAN"
Bone;"A1L020;MEX3A_HUMAN"
Bone;"P28161;GSTM2_HUMAN"
Bone;"Q9BV23;ABHD6_HUMAN"
Bone;"Q92558;WASF1_HUMAN"
Breast;"Q9BUP0;EFHD1_HUMAN"
Breast;"Q9H008;LHPP_HUMAN"
Breast;"Q9UHF7;TRPS1_HUMAN"
Breast;"P09467;F16P1_HUMAN"
Breast;"Q6UXG2;ELAP1_HUMAN"
Breast;"O15156;ZBT7B_HUMAN"
Breast;"P55317;FOXA1_HUMAN"
Breast;"P02144;MYG_HUMAN"
Cervix;"Q9Y375;CIA30_HUMAN"
Cervix;"P01024;CO3_HUMAN"
Cervix;"Q13613;MTMR1_HUMAN"
Cervix;"O00562;PITM1_HUMAN"
Cervix;"Q53SF7;COBL1_HUMAN"
Esophagus;"Q15527;SURF2_HUMAN"
Esophagus;"P52895;AK1C2_HUMAN"
Head and Neck;"P27482;CALL3_HUMAN"
Head and Neck;"P04259;K2C6B_HUMAN"
Head and Neck;"P57729;RAB38_HUMAN"
Head and Neck;"P13747;HLAE_HUMAN"
Head and Neck;"Q9NYQ6;CELR1_HUMAN"
Head and Neck;"Q14512;FGFP1_HUMAN"
Hematopoietic and Lymphoid;"P15923;TFE2_HUMAN"
Hematopoietic and Lymphoid;"Q14761;PTCA_HUMAN"
Hematopoietic and Lymphoid;"Q9Y2S6;TMA7_HUMAN"
Hematopoietic and Lymphoid;"O95319;CELF2_HUMAN"
Hematopoietic and Lymphoid;"P14317;HCLS1_HUMAN"
Hematopoietic and Lymphoid;"Q99856;ARI3A_HUMAN"
Hematopoietic and Lymphoid;"P23610;HAP40_HUMAN"
Hematopoietic and Lymphoid;"Q13422;IKZF1_HUMAN"
Hematopoietic and Lymphoid;"Q9UI08;EVL_HUMAN"
Hematopoietic and Lymphoid;"Q8WYJ6;SEPT1_HUMAN"
Hematopoietic and Lymphoid;"P42768;WASP_HUMAN"
Hematopoietic and Lymphoid;"P20701;ITAL_HUMAN"
Hematopoietic and Lymphoid;"P08575;PTPRC_HUMAN"
Hematopoietic and Lymphoid;"Q8WUH1;CHUR_HUMAN"
Hematopoietic and Lymphoid;"Q92619;HMHA1_HUMAN"
Hematopoietic and Lymphoid;"Q7Z5R6;AB1IP_HUMAN"
Hematopoietic and Lymphoid;"Q12912;IRAG2_HUMAN"
Hematopoietic and Lymphoid;"Q86UE8;TLK2_HUMAN"
Hematopoietic and Lymphoid;"Q92835;SHIP1_HUMAN"
Hematopoietic and Lymphoid;"Q13303;KCAB2_HUMAN"
Hematopoietic and Lymphoid;"Q15027;ACAP1_HUMAN"
Hematopoietic and Lymphoid;"O00221;IKBE_HUMAN"
Hematopoietic and Lymphoid;"P15498;VAV_HUMAN"
Hematopoietic and Lymphoid;"Q86UX7;URP2_HUMAN"
Hematopoietic and Lymphoid;"Q04864;REL_HUMAN"
Hematopoietic and Lymphoid;"Q8NF50;DOCK8_HUMAN"
Hematopoietic and Lymphoid;"Q96EV8;DTBP1_HUMAN"
Hematopoietic and Lymphoid;"Q7L4I2;RSRC2_HUMAN"
Hematopoietic and Lymphoid;"O14920;IKKB_HUMAN"
Hematopoietic and Lymphoid;"Q9P107;GMIP_HUMAN"
Hematopoietic and Lymphoid;"P16885;PLCG2_HUMAN"
Hematopoietic and Lymphoid;"B0I1T2;MYO1G_HUMAN"
Hematopoietic and Lymphoid;"P05107;ITB2_HUMAN"
Hematopoietic and Lymphoid;"Q14005;IL16_HUMAN"
Hematopoietic and Lymphoid;"O75592;MYCB2_HUMAN"
Hematopoietic and Lymphoid;"O95229;ZWINT_HUMAN"
Hematopoietic and Lymphoid;"Q92556;ELMO1_HUMAN"
Hematopoietic and Lymphoid;"Q9Y5A7;NUB1_HUMAN"
Hematopoietic and Lymphoid;"Q6JBY9;CPZIP_HUMAN"
Hematopoietic and Lymphoid;"Q6ZUJ8;BCAP_HUMAN"
Hematopoietic and Lymphoid;"Q9HB19;PKHA2_HUMAN"
Hematopoietic and Lymphoid;"Q8IUI8;CRLF3_HUMAN"
Hematopoietic and Lymphoid;"Q86YV0;RASL3_HUMAN"
Hematopoietic and Lymphoid;"Q9H4E7;DEFI6_HUMAN"
Hematopoietic and Lymphoid;"P35236;PTN7_HUMAN"
Hematopoietic and Lymphoid;"Q9BT23;LIMD2_HUMAN"
Hematopoietic and Lymphoid;"Q9Y6K9;NEMO_HUMAN"
Hematopoietic and Lymphoid;"Q9NRA8;4ET_HUMAN"
Hematopoietic and Lymphoid;"P05771;KPCB_HUMAN"
Hematopoietic and Lymphoid;"P50749;RASF2_HUMAN"
Hematopoietic and Lymphoid;"Q15052;ARHG6_HUMAN"
Hematopoietic and Lymphoid;"P04440;DPB1_HUMAN"
Hematopoietic and Lymphoid;"Q7L591;DOK3_HUMAN"
Hematopoietic and Lymphoid;"Q01543;FLI1_HUMAN"
Hematopoietic and Lymphoid;"Q86VQ1;GLCI1_HUMAN"
Hematopoietic and Lymphoid;"Q8WU39;MZB1_HUMAN"
Hematopoietic and Lymphoid;"Q5JSP0;FGD3_HUMAN"
Hematopoietic and Lymphoid;"Q9HD47;MOG1_HUMAN"
Hematopoietic and Lymphoid;"Q96IY1;NSL1_HUMAN"
Hematopoietic and Lymphoid;"Q14493;SLBP_HUMAN"
Hematopoietic and Lymphoid;"P42331;RHG25_HUMAN"
Hematopoietic and Lymphoid;"P98171;RHG04_HUMAN"
Hematopoietic and Lymphoid;"Q14289;FAK2_HUMAN"
Hematopoietic and Lymphoid;"P32942;ICAM3_HUMAN"
Hematopoietic and Lymphoid;"Q9UKT9;IKZF3_HUMAN"
Hematopoietic and Lymphoid;"P09326;CD48_HUMAN"
Hematopoietic and Lymphoid;"P57076;CF298_HUMAN"
Hematopoietic and Lymphoid;"P28907;CD38_HUMAN"
Hematopoietic and Lymphoid;"Q96F07;CYFP2_HUMAN"
Hematopoietic and Lymphoid;"Q9UNY4;TTF2_HUMAN"
Hematopoietic and Lymphoid;"Q92608;DOCK2_HUMAN"
Hematopoietic and Lymphoid;"P33241;LSP1_HUMAN"
Hematopoietic and Lymphoid;"Q5R372;RBG1L_HUMAN"
Hematopoietic and Lymphoid;"Q9HBM1;SPC25_HUMAN"
Hematopoietic and Lymphoid;"O75995;SASH3_HUMAN"
Hematopoietic and Lymphoid;"Q15306;IRF4_HUMAN"
Hematopoietic and Lymphoid;"Q9Y5B0;CTDP1_HUMAN"
Hematopoietic and Lymphoid;"P55160;NCKPL_HUMAN"
Hematopoietic and Lymphoid;"P43405;KSYK_HUMAN"
Hematopoietic and Lymphoid;"O95379;TFIP8_HUMAN"
Hematopoietic and Lymphoid;"P42575;CASP2_HUMAN"
Hematopoietic and Lymphoid;"Q9NVP2;ASF1B_HUMAN"
Hematopoietic and Lymphoid;"O60234;GMFG_HUMAN"
Hematopoietic and Lymphoid;"Q8IZ73;RUSD2_HUMAN"
Hematopoietic and Lymphoid;"O60942;MCE1_HUMAN"
Hematopoietic and Lymphoid;"L0R819;ASURF_HUMAN"
Hematopoietic and Lymphoid;"Q9GZY6;NTAL_HUMAN"
Hematopoietic and Lymphoid;"P23443;KS6B1_HUMAN"
Hematopoietic and Lymphoid;"Q6F5E8;CARL2_HUMAN"
Hematopoietic and Lymphoid;"Q9BYB4;GNB1L_HUMAN"
Hematopoietic and Lymphoid;"P16150;LEUK_HUMAN"
Hematopoietic and Lymphoid;"Q8N8A2;ANR44_HUMAN"
Hematopoietic and Lymphoid;"Q06187;BTK_HUMAN"
Hematopoietic and Lymphoid;"P14621;ACYP2_HUMAN"
Hematopoietic and Lymphoid;"Q7Z6I6;RHG30_HUMAN"
Hematopoietic and Lymphoid;"Q9NWZ3;IRAK4_HUMAN"
Hematopoietic and Lymphoid;"Q92918;M4K1_HUMAN"
Hematopoietic and Lymphoid;"Q9Y3L3;3BP1_HUMAN"
Hematopoietic and Lymphoid;"O95067;CCNB2_HUMAN"
Hematopoietic and Lymphoid;"Q53QZ3;RHG15_HUMAN"
Kidney;"Q9H477;RBSK_HUMAN"
Kidney;"Q13113;PDZ1I_HUMAN"
Kidney;"Q7Z5R6;AB1IP_HUMAN"
Kidney;"P10451;OSTP_HUMAN"
Kidney;"P84022;SMAD3_HUMAN"
Kidney;"Q8WUT4;LRRN4_HUMAN"
Kidney;"P07196;NFL_HUMAN"
Kidney;"Q9HB19;PKHA2_HUMAN"
Kidney;"P56159;GFRA1_HUMAN"
Kidney;"Q05193;DYN1_HUMAN"
Kidney;"P55042;RAD_HUMAN"
Kidney;"O00562;PITM1_HUMAN"
Kidney;"Q5T2W1;NHRF3_HUMAN"
Kidney;"Q96EM0;T3HPD_HUMAN"
Kidney;"P17936;IBP3_HUMAN"
Kidney;"Q9H694;BICC1_HUMAN"
Kidney;"Q9BRF8;CPPED_HUMAN"
Kidney;"Q7Z3T8;ZFY16_HUMAN"
Large Intestine;"P16444;DPEP1_HUMAN"
Large Intestine;"P35900;K1C20_HUMAN"
Large Intestine;"Q9C075;K1C23_HUMAN"
Large Intestine;"Q9ULV0;MYO5B_HUMAN"
Large Intestine;"Q99795;GPA33_HUMAN"
Large Intestine;"P56470;LEG4_HUMAN"
Liver;"Q02318;CP27A_HUMAN"
Liver;"P27338;AOFB_HUMAN"
Liver;"P01024;CO3_HUMAN"
Liver;"Q6ZN17;LN28B_HUMAN"
Ovary;"P28289;TMOD1_HUMAN"
Pancreas;"Q16798;MAON_HUMAN"
Pancreas;"Q5T601;AGRF1_HUMAN"
Peripheral Nervous System;"Q8N0Z6;TTC5_HUMAN"
Peripheral Nervous System;"Q5SQI0;ATAT_HUMAN"
Peripheral Nervous System;"P15923;TFE2_HUMAN"
Peripheral Nervous System;"Q9UI15;TAGL3_HUMAN"
Peripheral Nervous System;"P10636;TAU_HUMAN"
Peripheral Nervous System;"Q9H115;SNAB_HUMAN"
Peripheral Nervous System;"Q6PUV4;CPLX2_HUMAN"
Peripheral Nervous System;"Q14168;MPP2_HUMAN"
Peripheral Nervous System;"Q9BPU6;DPYL5_HUMAN"
Peripheral Nervous System;"Q9UPY3;DICER_HUMAN"
Peripheral Nervous System;"P23610;HAP40_HUMAN"
Peripheral Nervous System;"P52564;MP2K6_HUMAN"
Peripheral Nervous System;"O00451;GFRA2_HUMAN"
Peripheral Nervous System;"Q99719;SEPT5_HUMAN"
Peripheral Nervous System;"P05060;SCG1_HUMAN"
Peripheral Nervous System;"Q8N111;CEND_HUMAN"
Peripheral Nervous System;"P60880;SNP25_HUMAN"
Peripheral Nervous System;"P41219;PERI_HUMAN"
Peripheral Nervous System;"Q9P2W1;HOP2_HUMAN"
Peripheral Nervous System;"Q9UHG2;PCS1N_HUMAN"
Peripheral Nervous System;"P17677;NEUM_HUMAN"
Peripheral Nervous System;"O15069;NACAD_HUMAN"
Peripheral Nervous System;"Q86UE8;TLK2_HUMAN"
Peripheral Nervous System;"P07197;NFM_HUMAN"
Peripheral Nervous System;"Q9P2D1;CHD7_HUMAN"
Peripheral Nervous System;"Q9UEG4;ZN629_HUMAN"
Peripheral Nervous System;"Q8N158;GPC2_HUMAN"
Peripheral Nervous System;"P09172;DOPO_HUMAN"
Peripheral Nervous System;"P20711;DDC_HUMAN"
Peripheral Nervous System;"Q8IW35;CEP97_HUMAN"
Peripheral Nervous System;"Q8WXF7;ATLA1_HUMAN"
Peripheral Nervous System;"Q9UH03;SEPT3_HUMAN"
Peripheral Nervous System;"Q53H47;SETMR_HUMAN"
Peripheral Nervous System;"P09455;RET1_HUMAN"
Peripheral Nervous System;"Q93045;STMN2_HUMAN"
Peripheral Nervous System;"Q14687;GSE1_HUMAN"
Peripheral Nervous System;"P29762;RABP1_HUMAN"
Peripheral Nervous System;"O75592;MYCB2_HUMAN"
Peripheral Nervous System;"A8MVW0;F1712_HUMAN"
Peripheral Nervous System;"P07196;NFL_HUMAN"
Peripheral Nervous System;"O60282;KIF5C_HUMAN"
Peripheral Nervous System;"Q9UMS6;SYNP2_HUMAN"
Peripheral Nervous System;"O43602;DCX_HUMAN"
Peripheral Nervous System;"Q8IZD4;DCP1B_HUMAN"
Peripheral Nervous System;"Q8WX77;IBPL1_HUMAN"
Peripheral Nervous System;"Q9H467;CUED2_HUMAN"
Peripheral Nervous System;"Q9NRA8;4ET_HUMAN"
Peripheral Nervous System;"Q3V6T2;GRDN_HUMAN"
Peripheral Nervous System;"Q8N9F7;GDPD1_HUMAN"
Peripheral Nervous System;"Q8IYB7;DI3L2_HUMAN"
Peripheral Nervous System;"Q86VQ1;GLCI1_HUMAN"
Peripheral Nervous System;"Q14781;CBX2_HUMAN"
Peripheral Nervous System;"Q96S90;LYSM1_HUMAN"
Peripheral Nervous System;"Q8WWM9;CYGB_HUMAN"
Peripheral Nervous System;"Q96IY1;NSL1_HUMAN"
Peripheral Nervous System;"P57721;PCBP3_HUMAN"
Peripheral Nervous System;"Q13325;IFIT5_HUMAN"
Peripheral Nervous System;"O14813;PHX2A_HUMAN"
Peripheral Nervous System;"Q8WY54;PPM1E_HUMAN"
Peripheral Nervous System;"Q05193;DYN1_HUMAN"
Peripheral Nervous System;"P26232;CTNA2_HUMAN"
Peripheral Nervous System;"Q16566;KCC4_HUMAN"
Peripheral Nervous System;"Q9UI36;DACH1_HUMAN"
Peripheral Nervous System;"Q8IZ40;RCOR2_HUMAN"
Peripheral Nervous System;"Q9P2K3;RCOR3_HUMAN"
Peripheral Nervous System;"Q9BTV5;FSD1_HUMAN"
Peripheral Nervous System;"Q16799;RTN1_HUMAN"
Peripheral Nervous System;"Q9BYV8;CEP41_HUMAN"
Peripheral Nervous System;"Q6P158;DHX57_HUMAN"
Peripheral Nervous System;"Q8IX18;DHX40_HUMAN"
Peripheral Nervous System;"P28289;TMOD1_HUMAN"
Peripheral Nervous System;"A1L020;MEX3A_HUMAN"
Peripheral Nervous System;"Q9NZR1;TMOD2_HUMAN"
Peripheral Nervous System;"P23771;GATA3_HUMAN"
Peripheral Nervous System;"Q9HBM1;SPC25_HUMAN"
Peripheral Nervous System;"Q8NI08;NCOA7_HUMAN"
Peripheral Nervous System;"P10645;CMGA_HUMAN"
Peripheral Nervous System;"Q6UXD5;SE6L2_HUMAN"
Peripheral Nervous System;"Q6ZN17;LN28B_HUMAN"
Peripheral Nervous System;"Q9Y496;KIF3A_HUMAN"
Peripheral Nervous System;"Q9Y5B0;CTDP1_HUMAN"
Peripheral Nervous System;"Q9UNW9;NOVA2_HUMAN"
Peripheral Nervous System;"Q14576;ELAV3_HUMAN"
Peripheral Nervous System;"O76080;ZFAN5_HUMAN"
Peripheral Nervous System;"Q6ZU35;CRACD_HUMAN"
Peripheral Nervous System;"P28161;GSTM2_HUMAN"
Peripheral Nervous System;"Q8IZ73;RUSD2_HUMAN"
Peripheral Nervous System;"O60942;MCE1_HUMAN"
Peripheral Nervous System;"P26992;CNTFR_HUMAN"
Peripheral Nervous System;"L0R819;ASURF_HUMAN"
Peripheral Nervous System;"Q12926;ELAV2_HUMAN"
Peripheral Nervous System;"Q96GY0;ZC21A_HUMAN"
Peripheral Nervous System;"Q86TP1;PRUN1_HUMAN"
Peripheral Nervous System;"P23443;KS6B1_HUMAN"
Peripheral Nervous System;"O15014;ZN609_HUMAN"
Peripheral Nervous System;"Q5TF21;SOGA3_HUMAN"
Peripheral Nervous System;"P49674;KC1E_HUMAN"
Peripheral Nervous System;"Q6F5E8;CARL2_HUMAN"
Peripheral Nervous System;"Q7L0J3;SV2A_HUMAN"
Peripheral Nervous System;"Q96MX3;ZNF48_HUMAN"
Peripheral Nervous System;"Q4J6C6;PPCEL_HUMAN"
Peripheral Nervous System;"Q7L099;RUFY3_HUMAN"
Peripheral Nervous System;"Q7Z7E8;UB2Q1_HUMAN"
Peripheral Nervous System;"P22466;GALA_HUMAN"
Peripheral Nervous System;"P60763;RAC3_HUMAN"
Peripheral Nervous System;"Q92558;WASF1_HUMAN"
Peripheral Nervous System;"Q9ULM3;YETS2_HUMAN"
Peripheral Nervous System;"Q9Y5N6;ORC6_HUMAN"
Peripheral Nervous System;"Q9HCM3;K1549_HUMAN"
Peripheral Nervous System;"Q3ZCW2;LEGL_HUMAN"
Peripheral Nervous System;"Q96FC7;PHIPL_HUMAN"
Peripheral Nervous System;"Q9P2B4;CT2NL_HUMAN"
Peripheral Nervous System;"Q9BSJ5;CQ080_HUMAN"
Peripheral Nervous System;"Q13309;SKP2_HUMAN"
Peripheral Nervous System;"Q96SI1;KCD15_HUMAN"
Peripheral Nervous System;"P17600;SYN1_HUMAN"
Peripheral Nervous System;"P07949;RET_HUMAN"
Peripheral Nervous System;"Q92777;SYN2_HUMAN"
Peripheral Nervous System;"Q92618;ZN516_HUMAN"
Peripheral Nervous System;"Q9UBK9;UXT_HUMAN"
Peripheral Nervous System;"P26378;ELAV4_HUMAN"
Skin;"Q02318;CP27A_HUMAN"
Skin;"O95319;CELF2_HUMAN"
Skin;"P56693;SOX10_HUMAN"
Skin;"P40126;TYRP2_HUMAN"
Skin;"Q7Z3E5;ARMC9_HUMAN"
Skin;"O75030;MITF_HUMAN"
Skin;"Q9Y5X2;SNX8_HUMAN"
Skin;"P56377;AP1S2_HUMAN"
Skin;"P40967;PMEL_HUMAN"
Skin;"P04271;S100B_HUMAN"
Skin;"Q9Y250;LZTS1_HUMAN"
Skin;"Q8WWM9;CYGB_HUMAN"
Skin;"P35219;CAH8_HUMAN"
Skin;"Q16655;MAR1_HUMAN"
Skin;"Q5SYE7;NHSL1_HUMAN"
Skin;"P11217;PYGM_HUMAN"
Skin;"O15085;ARHGB_HUMAN"
Skin;"P23297;S10A1_HUMAN"
Skin;"P57729;RAB38_HUMAN"
Skin;"Q6GQQ9;OTU7B_HUMAN"
Skin;"Q5T1C6;THEM4_HUMAN"
Skin;"P13686;PPA5_HUMAN"
Skin;"Q9C0D5;TANC1_HUMAN"
Skin;"Q96DX5;ASB9_HUMAN"
Skin;"Q92629;SGCD_HUMAN"
Skin;"Q11206;SIA4C_HUMAN"
Skin;"Q96SI1;KCD15_HUMAN"
Skin;"Q7Z3T8;ZFY16_HUMAN"
Skin;"P08962;CD63_HUMAN"